season,franchise_key,team_name,espn_team_id,regular_wins,regular_losses,regular_ties,regular_points_for,regular_points_against,playoff_wins,playoff_losses,final_place,is_champion,is_runner_up,source,source_note
2014,your-worst-nightmares,Your Worst Nightmares,,5,8,0,1195.4,1399.7,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2014,run-and-hide,Run and Hide,,3,10,0,1193.95,1476.65,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2014,p-rivers-nas-nas,P RIVERS NAS NAS,,6,7,0,1187.85,1209.4,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2015,run-and-hide,Run and Hide,,10,3,0,1528.15,1310.5,2,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2015,your-worst-nightmares,Your Worst Nightmares,,6,7,0,1333.3,1287.55,2,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2015,p-rivers-nas-nas,P RIVERS NAS NAS,,9,4,0,1521.65,1384.75,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2015,penthouse-panda-bear,The Penthouse Panda Bear,,7,6,0,1431.55,1390.95,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2015,cte-deniers,Boston Double Rainbows,,8,5,0,1376.9,1478.2,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2015,taco-macarthur,Yippee Kai A Justin Tucker,,7,6,0,1343.85,1295.05,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2015,bubbs,Austin Bubbs,,5,8,0,1320,1423.85,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2015,brightleaf-yuppies,Brightleaf Yuppies,,3,10,0,1119.65,1272.85,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2015,the-penguins,The Penguins,,5,8,0,1549.15,1565.5,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2015,raleigh-silly-nannies,W. Durham Silly Nannies,,5,8,0,1335.3,1450.3,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2016,brightleaf-yuppies,Brightleaf Yuppies,,7,6,0,1415.65,1428.85,3,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2016,p-rivers-nas-nas,P RIVERS NAS NAS,,8,5,0,1429.6,1302.45,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2016,the-penguins,The Penguins,,9,4,0,1509.05,1300.75,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2016,taco-macarthur,Taco MacArthur,,7,6,0,1308.9,1372.85,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2016,bubbs,Austin Bubbs,,8,5,0,1397.3,1317.05,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2016,run-and-hide,Run and Hide,,8,5,0,1403.25,1428.7,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2016,raleigh-silly-nannies,W. Durham Silly Nannies,,6,7,0,1477.45,1432.15,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
